Project ID,Project Name,Project URL,Summary,Project Start,Start Year,Last Updated,Last Updated Year,Update Recency,Start Decade,Modality,Project Home Country/Territory,Location,City,State/Region,Country,Latitude,Longitude,Coordinate Stack Size,Shared Coordinate,Named Contributor Band,Project Type Count,Topic Count,Era Count,Organization Type Count,Contributor Type Count,Leadership Tag Count,Funding Type Count,BIPOC Run,Women Run,Leadership Data Available,Temporal Data Status,Location Detail Status,Project Types,Topics,Eras Studied,Organization Types,Contributor Roles,Leadership Classifications,Funding Resources
bdph_0001,African American Digital & Experimental Humanities (AADHum),https://aadhum.umd.edu/,"AADHum is a digital and experimental humanities initiative that supports research at the intersection of technology, design, and Black studies.",2016,2016,2026,2026,Updated 2025-2026,2010s,Mixed,United States,"College Park, MD 20742, USA",N/A,MD,USA,38.9908487,-76.944141,2,Yes,26-50,4,2,1,1,4,2,2,Yes,Yes,Yes,Complete,Needs location detail review,Data Mining/Mapping/Visualization; Digital Collections/Databases/Archives; Events/Programming; Exhibits & Digital Storytelling,Black Studies; Digital Humanities,Other/Unknown,PWI (Graduate),Faculty; Fellows and/or Postdocs; Graduate Students; Undergraduate Students,BIPOC Run; Women Run,Grants/Awards (Private: Foundations/Charities); Small Donations
bdph_0002,AAS 21 Repertoire - Princeton African American Studies,https://aas.princeton.edu/,Black studies department at Princeton University,1969,1969,2023,2023,Updated 2023-2024,1960s,Mixed,United States,"Morrison Hall Princeton University Princeton, NJ 08544",N/A,NJ,USA,40.34803,-74.6597754,1,No,51+,3,4,1,1,4,1,2,No,No,No,Complete,Needs location detail review,Digital Collections/Databases/Archives; Educational Resources; Events/Programming,Black Education/Black Students; Black People - Race Identity; Black Studies; U.S. History,Other/Unknown,PWI (Graduate),Digital/Design Professionals; Faculty; Graduate Students; Undergraduate Students,Data Not Available,In-Kind Support; Institutional Operating Budget (Internal)
bdph_0004,A Call to Negro Women: A (Little Known) Black Feminist Manifesto,https://melanationzine.wordpress.com/home/,Zine detailing the importance of The Sojourners for Truth and Justice and Black feminism,42826,2017,2020,2020,Updated 2020-2022,2010s,Digital,United States,"BYP100, C/O DC Chapter P.O. Box 15254 Chicago, IL 60615",C/O,DC,USA,41.8781136,-87.6297982,2,Yes,Unspecified,4,2,1,1,1,1,2,No,No,No,Complete,Location detail present,Digital Publishing & Digital Editions; Events/Programming; Exhibits & Digital Storytelling; Local History & Local Places,Black Activism/Advocacy; Black Women/Feminism,20th Century,Community Group,Community Members,Data Not Available,In-Kind Support; Small Donations
bdph_0005,A Colony in Crisis: The Saint-Domingue Grain Shortage of 1789,https://colonyincrisis.lib.umd.edu/,Translations of primary documentation of the Saint-Domingue (colonial Haiti) Grain Shortage of 1789. The project features translations of colonial documentation from French into English and from English and French into Haitian Creole. There are also audio recordings of Haitian Creole translations.,41895,2014,44864,2022,Updated 2020-2022,2010s,Digital,United States,"College Park, MD",College Park,N/A,N/A,38.9896967,-76.93776,2,Yes,26-50,3,7,1,4,5,1,3,No,No,Yes,Complete,Needs location detail review,Digital Collections/Databases/Archives; Digital Publishing & Digital Editions; Educational Resources,Abolitionists/Emancipation/Reconstruction; African Diaspora/Migration; Caribbean History; Colonialism & Post-Colonialism/Decolonization; Historical Figure; Politics and Government; Transatlantic Slave Trade/Slavery,18th Century,Community Group; PWI (Graduate); University (Other); University Library,Faculty; Graduate Students; Library Professionals; Translators; Undergraduate Students,Not Minority Run,Grants/Awards (Public: State or Local); In-Kind Support; Institutional Operating Budget (Internal)
bdph_0006,A People's Archive of Police Violence in Cleveland,https://www.archivingpoliceviolence.org/,Archive that Cleveland citizens can use to share their stories about police violence,Summer 2015,2015,2023,2023,Updated 2023-2024,2010s,Digital,United States,"Unitarian Universalist Congregation of Cleveland 21600 Shaker Blvd. Shaker Heights, OH 44122",N/A,OH,USA,41.4772547,-81.5274074,1,No,Unspecified,2,1,2,1,2,1,2,No,No,No,Complete,Needs location detail review,Local History & Local Places; Other/Unknown,Lynching/Race Riots/Police Brutality,20th Century; 21st Century,Community Group,Community Members; Other/Unknown,Data Not Available,In-Kind Support; Small Donations
bdph_0007,A Red Record – Revealing lynching sites in North Carolina,https://lynching.web.unc.edu/,Mapping with detailed narratives and resources of lynchings in North Carolina and with forthcoming visualizations of four other states.,42036,2015,2021,2021,Updated 2020-2022,2010s,Digital,United States,North Carolina,North Carolina,N/A,N/A,35.7595731,-79.01929969999999,1,No,26-50,3,1,2,2,1,1,2,No,No,Yes,Complete,Needs location detail review,Data Mining/Mapping/Visualization; Digital Publishing & Digital Editions; Local History & Local Places,Lynching/Race Riots/Police Brutality,19th Century; 20th Century,PWI (Graduate); PWI (Undergraduate),Undergraduate Students,Not Minority Run,Grants/Awards (Institutional/Internal); In-Kind Support
bdph_0008,"A Shaky Truce: Civil Rights Struggles in Starkville, Mississippi, 1960-1980",https://shakytruce.github.io/,"Storytelling project on the civil rights movement in Starkville, Mississippi in the 60s and 70s",2014,2014,2022,2022,Updated 2020-2022,2010s,Digital,United States,"75 B. S. Hood Rd, Mississippi State, MS 39762",N/A,MS,USA,33.456648,-88.795383,2,Yes,11-25,8,11,1,10,7,1,4,No,No,Yes,Complete,Needs location detail review,Data Mining/Mapping/Visualization; Digital Collections/Databases/Archives; Educational Resources; Events/Programming; Exhibits & Digital Storytelling; Local History & Local Places; Oral Histories; Resource Hub,Black Activism/Advocacy; Black Communities/Urban Renewal; Black Education/Black Students; Civil Rights Movement/Black Power; Digital Humanities; Lynching/Race Riots/Police Brutality; Newspapers/Periodicals/Black Press; Politics and Government; Race Relations/Racial Inequality/Racism; Segregation; U.S. History,20th Century,Community Group; Independent Scholar/Individual Research; Inter-Institution Partnership; K-12; Minority Serving Institution (Graduate); Minority Serving Institution (Undergraduate); PWI (Graduate); PWI (Undergraduate); University (Other); University Library,Community Members; Digital/Design Professionals; Faculty; Graduate Students; K-12 Educators; Library Professionals; Undergraduate Students,Not Minority Run,Grants/Awards (Institutional/Internal); Grants/Awards (Public/Federal); Grants/Awards (Public: State or Local); In-Kind Support
bdph_0009,African Activist Archive Project,https://africanactivist.msu.edu/,Digital archive of thousands of US-based African activist materials and related stories,Unspecified,,Unspecified,,Unknown / unparsed,Unknown,Digital,United States,"Attn: African Activist Archive Project International Center 427 N. Shaw Lane, Room 100 Michigan State University East Lansing, MI 48824",N/A,MI,USA,42.72663319999999,-84.4806517,1,No,11-25,2,2,1,1,2,1,2,No,No,No,Start and update missing/unparsed,Needs location detail review,Digital Collections/Databases/Archives; Educational Resources,Black Activism/Advocacy; Colonialism & Post-Colonialism/Decolonization,20th Century,PWI (Graduate),Community Members; Faculty,Data Not Available,Grants/Awards (Institutional/Internal); Small Donations
bdph_0010,African American AIDS History Project,http://afamaidshist.fiu.edu/omeka-s/s/african-american-aids-history-project/page/home-page,Community-contributed archive of documents relating to the intersection of African American and the HIV/AIDS crisis,Unspecified,,42583,2016,Last update before 2020,Unknown,Digital,United States,"11200 SW 8th St, Miami, FL 33199",N/A,FL,USA,25.7567562,-80.37775090000001,3,Yes,11-25,2,2,2,1,3,1,2,No,No,No,Start missing/unparsed,Needs location detail review,Digital Collections/Databases/Archives; Other/Unknown,Other/Unknown; U.S. History,20th Century; 21st Century,University (Other),Community Members; Faculty; Undergraduate Students,Data Not Available,Grants/Awards (Private: Foundations/Charities); In-Kind Support
bdph_0011,African American Civil War Soldiers Project,https://www.zooniverse.org/projects/usct/african-american-civil-war-soldiers,Community-created database of information regarding African American soldiers in the Civil War,43160,2018,44016,2020,Updated 2020-2022,2010s,Digital,United States,"1925 Vermont Ave, NW Washington, DC 20001",Washington,DC,USA,38.9162572,-77.025223,1,No,6-10,3,1,1,1,2,1,5,No,No,No,Complete,Location detail present,Data Mining/Mapping/Visualization; Digital Collections/Databases/Archives; Educational Resources,Black Soldiers/American Civil War,19th Century,Museum,Community Members; Museum Professionals,Data Not Available,Grants/Awards (Private: Foundations/Charities); Grants/Awards (Professional Organizations); Grants/Awards (Public/Federal); Grants/Awards (Public: State or Local); In-Kind Support
